Series_Title,Released_Year,Certificate,Meta_score,Gross
El Cuerpo,2015,N/A,N/A,N/A
Die Welle,1996,N/A,N/A,N/A
The Secret of Kells,2009,Not Rated,81,"$676,775"
Dead Man's Shoes,2004,Not Rated,52,"$6,408"
Pachinko batoru rowaiaru,2001,N/A,N/A,N/A
Funny Games,2007,R,44,"$1,294,919"
Apollo 13,1995,PG,78,"$173,837,933"
Watership Down,1978,PG,64,N/A
Blowup: San Francisco,2009,N/A,N/A,N/A
Breakfast at Tiffany's,1961,Approved,77,N/A
Giant,1956,G,84,"$32,855,818"
Lifeboat,1944,Approved,78,N/A
The 39 Steps,1935,Approved,93,N/A
